City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,arkhara,49.4212,130.0842,274.13,92,100,3.13,RU,1697670887
313,isafjordur,66.0755,-23.124,279.42,78,100,3.73,IS,1697670837
314,magadan,59.5667,150.8,270.83,75,11,4.92,RU,1697670745
315,huanggang,23.677,116.9996,296.09,82,81,2.1,CN,1697670888
316,onguday,50.75,86.15,277.5,77,0,1.47,RU,1697670888
317,zeya,53.75,127.2667,275.09,70,100,5.45,RU,1697670889
318,mont-tremblant,46.1949,-74.6264,282.92,81,99,0.51,CA,1697670889
319,caleta de carquin,-11.0925,-77.6267,293.56,84,55,5.33,PE,1697670890
320,berdigestyakh,62.0989,126.6992,268.31,89,100,3.58,RU,1697670890
321,bumba,2.1833,22.4667,294.41,98,100,1.15,CD,1697670891
322,baza,37.4907,-2.7726,290.14,69,41,4.63,ES,1697670891
323,nuuk,64.1835,-51.7216,269.49,74,75,11.32,GL,1697670892
324,aasiaat,68.7098,-52.8699,257.35,90,67,2.18,GL,1697670893
325,the pas,53.8251,-101.2541,280.16,81,100,2.57,CA,1697670893
326,tinajo,29.0788,-13.7081,296.64,69,20,3.6,ES,1697670894
327,kattivakkam,13.2167,80.3167,300.97,84,77,2.92,IN,1697670894
328,ebaye,8.7748,167.7392,303.16,74,0,2.06,MH,1697670895
329,nizhnesortymskiy,62.4397,71.7603,278.39,78,100,5.15,RU,1697670895
330,maintirano,-18.0667,44.0167,298.27,78,71,2.83,MG,1697670895
331,omurtag,43.1,26.4167,279.41,85,28,2.2,BG,1697670896
332,diamantino,-14.4086,-56.4461,307.49,26,77,1.55,BR,1697670896
333,kone,-21.0595,164.8658,297.51,52,1,3.32,NC,1697670897
334,kyaikto,17.3,97.0167,297.22,91,45,0.69,MM,1697670897
335,fada,9.5667,8.3,294.57,91,98,0.35,NG,1697670898
336,susuman,62.7833,148.1667,259.81,76,100,0.45,RU,1697670898
337,vizinga,61.0749,50.1031,275.15,96,100,5.35,RU,1697670898
338,bodaybo,57.8506,114.1933,272.63,82,100,2.6,RU,1697670899
339,al mahwit,15.4701,43.5448,289.6,70,74,0.39,YE,1697670899
340,tirumullaivasal,11.2333,79.8333,299.34,81,99,1.3,IN,1697670899
341,sandnessjoen,66.0217,12.6316,269.44,68,0,5.74,NO,1697670900
342,rincon,32.296,-81.2354,292.13,67,20,3.6,US,1697670900
343,tamanrasset,22.785,5.5228,297.27,18,43,0.7,DZ,1697670901
344,susanville,40.4163,-120.653,299.15,27,0,1.54,US,1697670901
345,vazante,-17.9869,-46.9078,304.63,26,63,0.95,BR,1697670902
346,ivdel',60.6911,60.4206,276.59,82,100,5.36,RU,1697670903
347,nora,59.5193,15.0398,275.84,91,87,0.45,SE,1697670903
348,horta,38.5333,-28.6333,292.6,81,77,1.34,PT,1697670904
349,queenstown,-31.8976,26.8753,286.18,86,77,1.46,ZA,1697670871
350,kapuskasing,49.4169,-82.4331,283.2,76,75,1.54,CA,1697670886
351,kapa'a,22.0752,-159.319,302.33,63,20,4.12,US,1697670887
352,ewing,40.2698,-74.7999,289.21,78,100,1.54,US,1697670908
353,nosy varika,-20.5833,48.5333,295.38,95,98,1.43,MG,1697670908
354,urengoy,65.9667,78.3667,278.77,94,100,5.36,RU,1697670909
355,lata,40.1629,-8.3327,290.97,96,98,6.14,PT,1697670657
356,guerrero negro,27.9769,-114.0611,298.29,49,39,6.99,MX,1697670910
357,aykhal,66.0,111.5,258.74,97,84,1.34,RU,1697670910
358,zyrya,40.3661,50.2917,289.2,76,98,3.71,AZ,1697670911
359,camiri,-20.05,-63.5167,302.88,39,94,3.09,BO,1697670911
360,noyabrsk,63.1994,75.4507,279.95,92,100,5.36,RU,1697670912
361,egilsstadir,65.2653,-14.3948,281.1,71,75,4.63,IS,1697670912
